foreign_lang,native_lang,flag
the,その,0
be,である,0
and,～と,0
of,の,0
to,～へ,0
a,一つの,0
in,～の中,0
have,持つ,0
it,それ,0
you,あなた,0
he,彼,0
for,～のため,0
they,彼ら,0
not,～でない,0
that,あの,0
we,私たち,0
on,～に接して,0
with,～と一緒,0
this,この,0
I,私は,0
do,する,0
as,～のように,0
at,～で,0
she,彼女,0
but,でも,0
from,～から,0
by,の近くに,0
will,～だろう,0
or,～か,0
say,言う,0
go,行く,0
so,とても,0
all,全て,0
if,もし,0
one,1、ひとり、ひとつ,0
would,～だろう,0
about,～について,0
can,～できる,0
which,どちらか,0
there,そこ,0
know,知る,0
more,もっと,0
get,得る,0
who,誰,0
like,好む,0
when,どこ,0
think,思う,0
make,作る,0
time,時間,0
see,見る,0
what,なに,0
up,上がる,0
some,いくらか,0
other,他,0
out,外へ,0
good,良い,0
people,人々,0
year,年,0
take,持っていく、取る,0
no,いいえ、ない,0
well,上手く、上手に,0
because,なぜならば,0
very,とても,0
just,ただ～,0
come,来る,0
could,できた,0
work,働く,0
use,使う,0
than,～より,0
now,今,0
then,その時、それから,0
also,～もまた,0
into,～の中に,0
only,たった,0
look,見る,0
want,欲しい,0
give,与える,0
first,最初,0
new,新しい,0
way,方法,0
find,見つける,0
over,超える,0
any,何か,0
after,後で,0
day,日,0
where,どこ,0
thing,物,0
most,もっとも,0
should,～すべき,0
need,必要とする,0
much,たくさん,0
right,正しい,0
how,どのようにして,0
back,背,0
mean,～するつもりだ,0
even,平らな、等しい,0
may,かもしれない,0
here,ここ,0
many,たくさん,0
such,そのような,0
last,最後,0
child,子供,0
tell,話す,0
really,本当に,0
call,呼ぶ,0
before,以前,0
company,会社,0
through,～の間,0
down,下へ,0
show,見せる,0
life,生命,0
man,男性,0
change,変える,0
place,場所,0
long,長い,0
between,～の間,0
feel,感じる,0
too,～もまた,0
still,まだ,0
problem,問題,0
write,書く,0
same,同じ,0
lot,用地,0
great,巨大な、多量の,0
try,試す,0
leave,去る,0
number,数字,0
both,両方とも,0
own,自身の,0
part,部品,0
point,主張,0
little,少し、小さい,0
help,助ける,0
ask,求める,0
meet,会う,0
start,始める,0
talk,話す,0
something,何か,0
put,置く,0
another,もう一つ,0
become,なる,0
interest,興味,0
country,国,0
old,古い,0
each,各々,0
school,学校,0
late,遅れる,0
high,高い,0
different,違う,0
off,離れて,0
next,次,0
end,終わり,0
live,生きる,0
why,なぜ,0
while,間,0
world,世界,0
week,週,0
play,遊ぶ,0
might,～かもしれない,0
must,～しなければならない,0
home,住まい,0
never,決して～しない,0
include,含む,0
course,進路,0
house,家,0
report,報告,0
group,集団,0
case,事例,0
woman,女性,0
around,～の周りに,0
book,本,0
family,家族,0
seem,～のように思われる,0
let,させる,0
again,再び,0
kind,親切,0
keep,保つ,0
hear,聞く,0
system,システム,0
every,毎,0
question,質問する,0
during,間,0
always,いつも,0
big,大きい,0
set,設置する,0
small,小さい,0
study,勉強する、研究する,0
follow,ついて行く,0
begin,始める,0
important,大切,0
since,～なので、～だから,0
run,走る,0
under,下に,0
turn,回る,0
few,少し,0
bring,持っていく,0
early,早い,0
hand,手,0
state,状態,0
move,動かす,0
money,金,0
fact,事実,0
however,しかし,0
area,地域,0
provide,提供する,0
name,名前,0
read,読む,0
friend,友達,0
month,口,0
large,大きい,0
business,ビジネス、商売,0
without,～なしに,0
information,情報,0
open,開いている,0
order,命令,0
government,政府,0
word,語,0
issue,問題,0
market,市場,0
pay,はらう,0
build,建てる,0
hold,手に持つ,0
service,奉仕、勤務,0
against,反対に、逆らって,0
believe,信じる,0
second,秒,0
though,だが,0
yes,はい,0
love,愛,0
increase,増える,0
job,仕事,0
plan,予定,0
result,結果,0
away,離れて・去って,0
example,例,0
happen,起こる,0
offer,申し出る,0
young,若い,0
close,閉める,0
program,プログラム,0
lead,導く,0
buy,買う,0
understand,理解する,0
thank,感謝する,0
far,遠い,0
today,今日,0
hour,時間,0
student,生徒,0
face,顔,0
hope,望む,0
idea,アイデア,0
cost,費用,0
less,より少ない,0
room,部屋,0
until,まで,0
reason,理由,0
form,形,0
spend,費やす,0
head,頭,0
car,車,0
learn,学ぶ,0
level,高さ,0
person,人,0
experience,経験,0
once,一度,0
member,メンバー,0
enough,十分,0
bad,悪い,0
city,都市,0
night,夜,0
able,できる,0
support,支える,0
whether,～かどうか,0
line,線,0
present,現在,0
side,端,0
quite,かなり,0
although,だけれども,0
sure,確信,0
term,用語,0
least,最小,0
age,年齢,0
low,低い,0
speak,話す,0
within,以内に,0
process,過程,0
public,公共,0
often,しばしば,0
train,電車,0
possible,可能性,0
actually,実際,0
